window,test_start,test_end,train_start,train_end,Com1-Met,Com2-Ag,Com3-Mkt,Com4-Misc,Forex_1,SPX_0DTE_Opt,SPX_1-D_Opt
1,2017-01-03,2017-04-03,2016-01-04,2016-12-30,50.0,0.0,50.0,0.0,50.0,0.0,50.0
2,2017-04-04,2017-07-03,2016-01-04,2017-04-03,49.99999999999626,0.0,49.999999999996135,0.0,49.99999999999615,0.0,49.99999999999144
3,2017-07-05,2017-10-02,2016-01-04,2017-07-03,50.0,0.0,50.0,0.0,50.0,0.0,50.0
4,2017-10-03,2018-01-02,2016-01-04,2017-10-02,49.99999999998547,0.0,49.99999999998974,0.0,49.99999999999116,0.0,49.99999999998393
5,2018-01-03,2018-04-04,2016-01-04,2018-01-02,49.99999999999744,0.0,49.999999999998025,0.0,49.99999999999816,0.0,49.99999999999751
6,2018-04-05,2018-07-03,2016-01-04,2018-04-04,50.0,0.0,50.0,0.0,50.0,0.0,50.0
7,2018-07-05,2018-10-02,2016-01-04,2018-07-03,50.0,22.63048087645265,50.0,0.0,50.0,0.0,27.369519123548535
8,2018-10-03,2019-01-03,2016-01-04,2018-10-02,50.0,33.07558334744282,50.0,0.0,50.0,0.0,16.924416652557934
9,2019-01-04,2019-04-04,2016-01-04,2019-01-03,49.999999999998664,0.0,49.99999999999887,0.0,49.999999999999034,0.0,49.99999999999849
10,2019-04-05,2019-07-05,2016-01-04,2019-04-04,49.999999999999226,0.0,49.99999999999942,0.0,49.99999999999948,0.0,49.99999999999965
11,2019-07-08,2019-10-03,2016-01-04,2019-07-05,50.0,0.0,50.0,0.0,50.0,0.0,50.0
12,2019-10-04,2020-01-03,2016-01-04,2019-10-03,49.999999999998415,0.0,49.99999999999876,0.0,49.999999999999,0.0,49.999999999998565
13,2020-01-06,2020-04-03,2016-01-04,2020-01-03,50.0,0.0,50.0,0.0,50.0,0.0,50.0
14,2020-04-06,2020-07-06,2016-01-04,2020-04-03,50.0,0.0,50.0,0.0,50.0,0.0,49.99999999999998
15,2020-07-07,2020-10-02,2016-01-04,2020-07-06,49.99999999999578,0.0,49.999999999997094,0.0,49.99999999999608,0.0,49.9999999999923
16,2020-10-05,2021-01-04,2016-01-04,2020-10-02,49.99999999999891,0.0,49.99999999999902,0.0,49.999999999998664,0.0,49.999999999999446
17,2021-01-05,2021-04-06,2016-01-04,2021-01-04,49.99999999999861,0.0,49.9999999999988,0.0,49.99999999999791,0.0,49.99999999999919
18,2021-04-07,2021-07-06,2016-01-04,2021-04-06,50.0,0.0,50.0,0.0,50.0,0.0,50.0
19,2021-07-07,2021-10-04,2016-01-04,2021-07-06,49.99999999999726,0.0,49.99999999999728,0.0,49.99999999999582,0.0,49.99999999999763
20,2021-10-05,2022-01-03,2016-01-04,2021-10-04,49.999999999997776,0.0,49.99999999999806,0.0,49.999999999997144,0.0,49.99999999999797
21,2022-01-04,2022-04-04,2016-01-04,2022-01-03,49.99999999999885,0.0,49.9999999999994,0.0,49.99999999999853,0.0,49.999999999999
22,2022-04-05,2022-07-06,2016-01-04,2022-04-04,49.99999999999904,0.0,50.0,0.0,49.99999999999882,0.0,49.9999999999991
23,2022-07-07,2022-10-04,2016-01-04,2022-07-06,50.0,0.0,50.0,0.0,50.0,0.0,50.0
24,2022-10-05,2023-01-04,2016-01-04,2022-10-04,50.0,0.0,50.0,0.0,50.0,0.0,50.0
25,2023-01-05,2023-04-05,2016-01-04,2023-01-04,50.0,0.0,50.0,0.0,50.0,0.0,50.0
26,2023-04-06,2023-07-07,2016-01-04,2023-04-05,49.99999999999792,0.0,49.9999999999985,0.0,49.999999999997016,0.0,49.999999999998465
27,2023-07-10,2023-10-05,2016-01-04,2023-07-07,49.99999999999787,0.0,49.99999999999814,0.0,49.99999999999708,0.0,49.99999999999828
28,2023-10-06,2024-01-05,2016-01-04,2023-10-05,49.999999999996405,0.0,49.99999999999586,0.0,49.999999999997115,0.0,49.99999999999572
29,2024-01-08,2024-04-08,2016-01-04,2024-01-05,49.99999999999925,0.0,49.99999999999933,0.0,49.999999999999375,0.0,49.99999999999899
30,2024-04-09,2024-07-09,2016-01-04,2024-04-08,49.9999999999908,0.0,49.99999999998956,0.0,49.99999999999287,0.0,49.99999999998999
31,2024-07-10,2024-10-07,2016-01-04,2024-07-09,50.0,0.0,50.0,0.0,50.0,0.0,50.0
32,2024-10-08,2025-01-07,2016-01-04,2024-10-07,49.999999999999,0.0,49.9999999999978,0.0,49.9999999999991,0.0,49.999999999998494
33,2025-01-08,2025-04-09,2016-01-04,2025-01-07,49.9999999999964,0.0,49.99999999999659,0.0,49.99999999999767,0.0,49.99999999999687
34,2025-04-10,2025-07-11,2016-01-04,2025-04-09,49.99999999999947,0.0,49.99999999999986,0.0,49.99999999999932,0.0,49.99999999999924
